Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth,Target,Year_survey,Age_survey
2,studying,582.0,Rural,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,0 - 29 %,1,1,2000,5,0,2022,22
4,unemployed,427.0,Suburb,North West,1.0,0.0,0.0,1.0,30 - 39 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,1989,4,1,2023,34
3,other,582.0,Urban,Free State,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,1996,7,1,2022,26
2,unemployed,810.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2022,22
4,studying,582.0,Urban,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1998,12,0,2023,25
4,studying,582.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1996,12,0,2023,27
4,unemployed,1826.0,Urban,Mpumalanga,1.0,0.0,0.0,2.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,40 - 49 %,1,1,2000,1,0,2023,23
4,unemployed,462.0,Urban,Mpumalanga,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1997,1,0,2023,26
4,wage employed,273.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2023,23
4,self employed,1859.0,Rural,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1991,4,1,2023,32
3,other,582.0,Urban,Gauteng,1.0,0.0,0.0,2.0,30 - 39 %,40 - 49 %,50 - 59 %,50 - 59 %,40 - 49 %,1,1,1999,9,1,2022,23
2,unemployed,736.0,Urban,Limpopo,1.0,0.0,0.0,1.0,30 - 39 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,1992,3,0,2022,30
1,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,4.0,60 - 69 %,40 - 49 %,60 - 69 %,50 - 59 %,60 - 69 %,0,1,1998,9,1,2021,23
1,wage employed,0.0,Suburb,Mpumalanga,0.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1987,12,0,2021,34
2,unemployed,796.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,70 - 79 %,50 - 59 %,30 - 39 %,0,1,2000,12,0,2022,22
1,self employed,2181.0,Urban,Free State,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,1989,11,1,2021,32
3,self employed,1527.0,Urban,Gauteng,1.0,0.0,0.0,5.0,0 - 29 %,60 - 69 %,50 - 59 %,40 - 49 %,30 - 39 %,0,1,2000,5,1,2022,22
2,studying,582.0,Urban,Free State,1.0,0.0,0.0,1.0,30 - 39 %,40 - 49 %,30 - 39 %,50 - 59 %,30 - 39 %,0,1,1994,6,1,2022,28
3,other,582.0,Urban,Western Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,1999,10,1,2022,23
2,unemployed,0.0,Urban,North West,1.0,0.0,0.0,1.0,0 - 29 %,50 - 59 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2022,22
2,unemployed,461.0,Rural,Mpumalanga,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,50 - 59 %,50 - 59 %,0 - 29 %,1,1,2000,1,0,2022,22
4,unemployed,2593.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1994,1,0,2023,29
4,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1999,8,0,2023,24
4,self employed,582.0,Urban,Gauteng,1.0,0.0,0.0,4.0,0 - 29 %,40 - 49 %,50 - 59 %,40 - 49 %,30 - 39 %,0,1,2001,3,0,2023,22
2,unemployed,1532.0,Rural,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,1993,11,0,2022,29
3,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2003,12,0,2022,19
3,unemployed,217.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1993,11,0,2022,29
2,employment programme,790.0,Urban,Gauteng,1.0,0.0,0.0,5.0,0 - 29 %,60 - 69 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2022,22
